disease,ntd,daly2015,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,total
African Trypanosomiasis,TRUE,372,44,37,51,40,37,40,38,47,30,37,400
Ascariasis,TRUE,1096,2,2,2,2,2,2,1,0,1,1,15
Chagas disease,TRUE,253,11,18,18,22,26,34,27,21,19,25,221
Cysticercosis & Taeniasis,TRUE,1857,1,1,3,2,2,5,2,2,3,4,24
Dengue,TRUE,2613,51,53,80,69,79,80,76,86,101,113,788
HIV/AIDS,FALSE,62759,1225,1316,1285,1216,1171,1207,1110,1081,1031,1102,11743
Hookworm diseases,TRUE,1756,10,12,11,7,10,9,7,6,6,4,81
Leishmaniasis,TRUE,1357,56,64,75,69,50,42,34,45,40,41,516
Leprosy,TRUE,489,6,11,12,10,9,15,13,11,11,11,109
Lymphatic filariasis,TRUE,2071,6,13,16,15,14,15,15,21,14,16,146
Malaria,FALSE,38520,492,585,641,567,590,577,531,577,563,576,5702
Onchocerciasis,TRUE,1136,2,7,15,9,10,13,15,10,13,10,103
Schistosomiasis,TRUE,3514,26,22,24,31,23,29,25,26,20,18,244
Trachoma,TRUE,279,1,2,1,3,6,2,2,1,1,2,23
Trichuriasis,TRUE,543,0,1,1,1,1,1,1,1,1,2,11
Tuberculosis,FALSE,56037,452,495,605,622,577,553,564,569,576,568,5582
